"file","year","page_from","page_to","project_label","project_type_label","n","# SECTION 1: ABOUT THE PROJECT","# SECTION 2: PROJECT COSTS","# SECTION 3: PROJECT TIMESCALE","# SECTION 4: KEY USER REQUIREMENTS","# SECTION 5: HISTORY UP TO MAIN GATE APPROVAL","# SECTION 1: ABOUT THE REQUIREMENT","# SECTION 2: THE ASSESSMENT PHASE","# SECTION 4: KEY USER REQUIREMENTS REVISED","# B. Section B: Cost","# C. Section C: Timescale","# D. Section D: Performance","# A. Section A: The Project","# A. Section A: The Project (2)","# D. Section D: Performance – Not Applicable","# E. Section E: Cancellation","NA"
"naomprss_2010_17_20.md",2010,17,20,"Solomon (formerly Dabinet)","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,169,104,6,163,NA,NA,NA,NA
"naomprss_2010_177_185.md",2010,177,185,"Tornado Capability Upgrade Strategy (Pilot)","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,386,239,615,140,NA,NA,NA,NA
"naomprss_2010_186_201.md",2010,186,201,"Type 45 Destroyer","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,648,557,794,230,NA,NA,NA,NA
"naomprss_2010_186_201.md",2010,186,201,"Type 45 Destroyer","D&M Phase",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,NA,NA,NA
"naomprss_2010_202_217.md",2010,202,217,"Typhoon","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,673,457,809,12,NA,NA,NA,NA
"naomprss_2010_21_24.md",2010,21,24,"Future Integrated Soldier Technology","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,190,140,NA,151,NA,0,NA,NA
"naomprss_2010_218_238.md",2010,218,238,"United Kingdom Military Flying Training System","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,1004,1333,1176,21,NA,NA,NA,NA
"naomprss_2010_239_251.md",2010,239,251,"Watchkeeper","D&M Phase",1,NA,NA,NA,NA,NA,NA,NA,NA,431,407,782,20,NA,NA,NA,NA
"naomprss_2010_25_28.md",2010,25,28,"Future Rapid Effects System","Assessment Phase Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,163,117,6,145,NA,NA,NA,NA
"naomprss_2010_252_261.md",2010,252,261,"Airborne Stand Off Radar (ASTOR)","Support Projects",1,NA,NA,NA,NA,NA,NA,NA,NA,603,395,610,23,NA,NA,NA,NA
